"id","var","nums","yvs","pTMEAN","tauTMEAN","pPRCP","tauPRCP","ppH","taupH","pANC","tauANC","pSO4","tauSO4","pNO3","tauNO3","pNH4","tauNH4","ptotN","tautotN"
"BIONsd","BION",22,"sd",0.626113776729876,-0.153846174478531,0.918677010748007,0.0512820556759834,0.105196746707964,-0.425815343856812,0.182126738488454,-0.358974397182465,0.259325719073536,0.307692348957062,0.771219698441221,0.102564111351967,0.41975180397571,-0.230769246816635,0.983678768742121,0.0256410278379917
"BIONsk","BION",22,"sk",0.626113776729876,0.153846174478531,0.771219698441221,-0.102564111351967,0.00638734568720279,0.683885216712952,0.0142049954424267,0.615384697914124,0.0453947600085377,-0.512820541858673,0.182126738488454,-0.358974397182465,0.842737080664608,0.0769230872392654,0.30402307598003,-0.282051295042038
"FAGRac","FAGR",24,"ac",0.685877173486417,0.079365074634552,0.233905376323849,0.201058179140091,0.319634894168738,0.170672118663788,0.30402307598003,0.174603164196014,0.589598755702338,-0.100529089570045,0.433350501950405,0.137566119432449,1,0,0.568885322044978,0.105820097029209
"FAGRkt","FAGR",24,"kt",0.568885322044978,0.105820097029209,0.589598755702338,0.100529089570045,0.00455170411330003,0.448014318943024,0.00284747073524877,0.465608417987823,0.0192953780293465,-0.370370328426361,0.337289247356477,-0.164021149277687,0.0983412995420653,0.269841253757477,0.589598755702338,-0.100529089570045
"FAGRsd","FAGR",24,"sd",0.685877173486417,-0.079365074634552,0.204219722913371,0.211640194058418,0.685877173486417,0.080002561211586,0.54336409362553,0.111111104488373,0.731194108123598,-0.0687830597162247,0.433350501950405,-0.137566119432449,0.947984997669686,0.0211640186607838,0.517706546431167,-0.116402104496956
"FAGRsk","FAGR",24,"sk",0.973312475429937,-0.0158730149269104,0.233905376323849,0.201058179140091,0.0853905210733957,0.282675713300705,0.0527829052237294,0.312169283628464,0.374503690722373,-0.15343913435936,0.0920707804136424,-0.275132238864899,0.75894545610156,0.0634920597076416,0.204219722913371,-0.211640194058418
"lepyearac","lepyear",23,"ac",0.889719179772604,-0.0457516349852085,0.24725952655374,0.254901975393295,0.259325719073536,0.249181672930717,0.24725952655374,0.254901975393295,0.40822175289491,-0.18954248726368,0.40822175289491,-0.18954248726368,0.624400692640448,-0.124183006584644,0.576591019803378,-0.137254908680916
"lepyearkt","lepyear",23,"kt",0.24725952655374,0.254901975393295,0.0289333221168629,0.450980395078659,0.00121398072142701,0.655741274356842,0.0203092648432805,0.477124184370041,0.0344203117839451,-0.437908500432968,0.0487045586730043,-0.411764711141586,0.273424145517547,-0.241830065846443,0.0344203117839451,-0.437908500432968
"lepyearsd","lepyear",23,"sd",0.663550562003321,0.111111111938953,0.799102386474609,0.0718954280018806,0.553170204162598,-0.144263073801994,0.843502653496606,-0.0588235296308994,0.447381358676487,0.176470592617989,1,-0.00653594778850675,0.369390693120387,-0.20261438190937,1,-0.00653594778850675
"lepyearsk","lepyear",23,"sk",0.273424145517547,0.241830065846443,0.0076788921745456,0.542483687400818,0.00576806612755066,0.563937485218048,0.0666734800636054,0.385620921850204,0.137534070685207,-0.32026144862175,0.103177804135262,-0.346405237913132,0.196709013324013,-0.281045764684677,0.0790687992087014,-0.372549027204514
"ws1_flux_Caac","ws1_flux_Ca",11,"ac",0.771219698441221,-0.0591133050620556,0.703459470995681,-0.0738916322588921,0.314353482676204,-0.167901769280434,0.103177804135262,-0.261083751916885,0.383667563842422,0.147783264517784,0.0905455265726362,0.270935982465744,0.47961321931001,0.12315271794796,0.154958418568664,0.231527104973793
"ws1_flux_Cakt","ws1_flux_Ca",11,"kt",0.0790687992087014,-0.280788213014603,0.287112658536887,-0.177339911460876,0.00154980311147225,-0.483952134847641,0.00100752456532116,-0.502463102340698,0.0034888438689403,0.44827589392662,0.00476669596734448,0.433497577905655,0.0188242138791162,0.364532053470612,0.0071321384540732,0.41379314661026
"ws1_flux_Casd","ws1_flux_Ca",11,"sd",0.813370856371793,-0.0492610856890678,0.47961321931001,-0.12315271794796,0.219446395637657,-0.202469781041145,0.176856639013952,-0.221674889326096,0.258488225001915,0.187192127108574,0.103177804135262,0.261083751916885,0.273424145517547,0.182266026735306,0.0905455265726362,0.270935982465744
"ws1_flux_Cask","ws1_flux_Ca",11,"sk",0.0728529550452933,-0.28571429848671,0.195643907339972,-0.211822673678398,0.00277963597723778,-0.459260702133179,0.0013744426223467,-0.48768475651741,0.0071321384540732,0.41379314661026,0.00787019729614258,0.408867031335831,0.0206951104794828,0.359605938196182,0.00975539804896492,0.399014800786972
"ws1_flux_NO3ac","ws1_flux_NO3",16,"ac",0.842737080664608,-0.0461538508534431,0.273424145517547,-0.193846166133881,0.591513681229047,0.104776710271835,0.581369050097404,0.107692316174507,0.364015779411828,-0.163076937198639,0.655387310670897,-0.0892307758331299,0.786576412908,-0.0584615431725979,0.63127230284957,-0.0953846275806427
"ws1_flux_NO3kt","ws1_flux_NO3",16,"kt",0.34535558166958,-0.169230788946152,0.870359820431458,0.0400000028312206,0.0899021373705917,-0.289676785469055,0.0540099980226204,-0.323076963424683,0.0413149128789487,0.341538488864899,0.162928773437031,0.243076950311661,0.501251246202438,0.126153856515884,0.109019033563962,0.273846179246902
"ws1_flux_NO3sd","ws1_flux_NO3",16,"sd",0.786576412908,-0.0584615431725979,0.581369050097404,-0.107692316174507,0.568885322044978,-0.110940046608448,0.977019750465781,-0.0153846172615886,1,-0.00307692331261933,0.525064578809236,0.120000012218952,0.655387310670897,0.0892307758331299,0.553901891484273,0.11384616792202
"ws1_flux_NO3sk","ws1_flux_NO3",16,"sk",0.870359820431458,-0.0400000028312206,0.430363234194963,0.144615396857262,0.983678768742121,-0.0123266717419028,0.842737080664608,-0.0461538508534431,0.76677689546717,0.0646153911948204,0.977019750465781,0.0153846172615886,0.977019750465781,-0.0153846172615886,0.891124260438539,0.0338461585342884
"ws1_volwt_Caac","ws1_volwt_Ca",1,"ac",0.117965160459585,-0.251231551170349,0.634237384796143,-0.0886699557304382,0.0347362101742152,-0.330865234136581,0.0106612040864346,-0.394088685512543,0.0293394243994424,0.339901506900787,0.00885450744628906,0.403940916061401,0.184543886046479,0.216748788952827,0.0188242138791162,0.364532053470612
"ws1_volwt_Cakt","ws1_volwt_Ca",1,"kt",0.441690479432426,0.133004933595657,0.287112658536887,0.177339911460876,0.0905455265726362,0.271605789661407,0.0529036001314091,0.305418729782104,0.246977619989034,-0.192118242383003,0.0320222613818285,-0.334975391626358,0.165317843942081,-0.226601004600525,0.0529036001314091,-0.305418729782104
